1.0472	0.69218	1.3756	1.0339	0.70727	1.3969	1.7237	1.7305	2.0649	2.4154	2.769	3.4585	2.4141	2.0611	2.4043	1.7388	1.7379	2.4284	2.0801	2.0798	1.3816	1.3986	2.7506	3.1001	2.7508	2.7689	3.4731	2.4297	1.0315	1.0485	1.048	0.72118	0.37053	1.0555	1.062	1.3975	1.0627	0.7159	1.7379	1.7387	1.0606	0.72015	1.736	1.4117	1.4059	1.7461	2.0781	1.0612	1.0481	0.70751	0.36932	1.0589	0.72089	1.3989	1.3994	1.4114	1.7447	1.7443	1.7437	1.0469	1.4089	1.4083	2.0788	1.7453	1.4047	1.7317	1.7311	2.0707	1.4089	1.4022	2.1068	1.7274	1.3944	1.4076	2.0693	1.7369	1.4101	2.0758	1.394	1.7485	1.7417	1.7474	2.4094	1.736	1.7437	1.7281	2.0751	2.0733	2.0602	1.7747	2.0866	1.746	1.7392	1.3951	1.4082
2.2215	2.2374	1.8362	2.2057	3.245	2.9131	2.5798	1.873	1.8726	3.9422	3.2354	2.578	2.9047	3.2527	2.9294	2.2394	2.8965	2.546	2.5492	2.9273	2.9106	2.9281	2.5498	3.2365	2.8965	2.5496	2.5615	2.5623	2.9104	1.875	1.855	2.5631	2.2059	1.8557	1.8551	2.5485	1.8791	1.8536	2.2206	1.1743	1.8586	1.5328	2.2266	2.9161	2.2218	2.5613	1.1893	2.2276	1.8695	0.87303	1.8722	1.1783	2.2217	1.8712	3.2545	2.5678	1.8774	2.9132	2.2529	2.2258	2.2296	2.9154	3.2586	3.2581	2.5599	2.2231	1.9002	2.2496	1.5626	1.5628	2.5924	2.2062	3.2774	3.2731	3.2763	2.932	2.5727	3.2709	2.2027	2.5827	1.893	2.2428	2.9361	2.5817	2.5812	2.2444	3.2739	3.6009	2.5828	3.2721	2.2458	2.9352	3.2622	2.9178	2.9333
3.3029	3.6535	2.9765	2.9644	2.6716	2.286	2.9632	2.9789	2.6705	2.2734	2.6553	2.9958	3.012	2.9953	3.3196	3.9867	3.3185	3.0094	3.2969	4.0411	3.0115	3.6854	3.701	2.9629	4.0399	2.6693	2.6687	2.6575	3.3504	3.3323	2.6583	3.6879	2.6696	2.9929	3.6862	3.3318	3.3333	3.3313	2.654	3.0103	2.9973	2.6505	2.6775	2.3057	1.9613	3.6846	3.6869	3.3311	3.331	2.678	2.6537	2.677	2.6552	2.326	1.9617	3.334	3.0182	2.9908	3.0179	2.9899	2.9893	3.0201	3.0158	2.6515	2.6747	3.0177	2.9904	2.6774	3.6831	3.6825	3.0196	3.6688	3.6506	3.6463	2.962	2.9552	2.9502	3.6482	3.2978	2.9572	3.6529	3.2961	3.6493	3.2987	3.2982	2.6352	2.9784	3.3321	2.614	2.9596	3.6805	3.2985	3.6655	3.291	3.2966
4.4409	3.7505	4.0639	3.4097	3.4102	3.0246	3.7528	4.4057	3.4133	3.3751	2.3807	3.7179	3.4112	3.7179	3.4122	3.7202	4.4093	4.0653	4.4162	3.7142	4.1013	3.4107	3.0515	3.0292	3.412	2.7224	3.0298	3.7179	3.7186	4.1005	3.0513	3.7232	4.0747	4.069	4.0694	3.7191	3.411	3.0519	3.0337	3.717	3.7403	3.0693	3.7421	3.7425	3.42	3.0518	3.7413	3.0545	3.744	3.3997	3.0667	3.0553	3.7596	2.6882	2.7115	3.051	3.7443	3.4176	3.4171	3.0666	3.405	4.0955	3.4193	4.1089	4.4345	4.4478	3.4034	3.7391	3.73	3.3932	3.7583	3.7137	3.709	4.0432	4.3826	4.0658	4.3816	3.3671	3.3504	4.0637	3.7131	4.4059	3.7162	4.0694	3.025	4.0645	3.7139	3.7134	3.3904	4.0661	4.0617	3.7325	4.0647	4.0678	4.0672
5.1065	4.4271	3.7429	4.7791	4.4411	4.4545	4.4317	4.7773	4.0816	4.7807	4.7726	4.0831	4.0829	4.4662	4.7942	5.1175	5.4608	4.1151	4.1156	4.4384	4.105	4.1049	4.4381	4.7776	4.4646	3.7678	4.4572	4.4311	4.8052	4.4657	5.1454	4.431	3.7742	5.1438	4.8032	4.8027	4.8042	4.1147	3.7826	3.4249	3.7744	3.7676	4.1209	4.1127	4.8098	3.7654	3.7653	4.472	4.8119	5.1515	4.1209	3.4228	3.4299	3.7794	3.7765	4.4711	3.4315	3.7679	3.7812	4.8084	4.1116	4.8012	4.103	4.4687	4.4658	4.8087	3.7814	4.7947	4.1041	4.4612	4.4668	4.1379	4.8273	4.4867	4.8024	3.8132	4.1123	4.4888	4.5059	5.1677	5.141	5.4904	4.1099	5.1369	4.8425	5.1381	4.7991	4.155	4.7983	5.1401	4.8433	4.5027	5.5321	4.1514	4.8408
5.2576	5.2334	4.5675	5.5981	5.9249	4.9366	4.5697	5.243	4.9086	4.8843	4.2152	4.8832	5.582	5.5824	4.9114	5.2432	4.5526	4.5797	5.9354	5.5811	4.5543	5.2691	5.2457	4.8962	5.9365	4.8959	5.5977	5.2409	5.5841	4.9059	5.239	5.2687	5.609	5.6094	4.9188	5.2683	5.2678	5.9573	4.5905	4.25	5.2819	4.9323	4.5926	4.9184	4.9492	5.9711	5.2581	5.62	5.2733	4.9289	4.5916	5.2597	5.2818	5.2751	4.5846	4.9459	4.2498	4.5831	4.5664	4.9227	4.5831	5.613	5.5987	5.6158	4.59	4.5895	5.6104	5.2561	5.2693	5.2761	4.9225	5.6453	5.2928	5.3046	5.6078	5.6072	5.2905	5.2661	4.9156	4.5927	5.2921	5.6082	6.3215	5.2909	4.5979	5.2835	5.2806	5.2885	5.6218	5.9712	4.9348	5.2842	4.9398	5.6206	4.5985
5.9668	5.6546	5.6543	5.9939	5.9797	4.9492	6.3333	5.6538	4.9643	5.3048	6.6849	5.6544	5.9662	5.9933	5.6366	5.9799	5.9774	6.3178	5.9821	5.9946	5.6402	5.9935	5.6529	5.3024	5.317	5.2867	6.6648	6.3175	5.9815	5.9933	5.6341	6.3159	6.319	5.9723	5.6379	5.2902	5.6405	5.3185	5.6403	5.2898	5.6607	5.6663	5.3158	4.9752	5.9794	5.9798	6.0078	6.3411	6.0006	6.3463	6.0058	6.0053	4.9748	5.6643	6.0328	6.0012	4.6209	5.6604	4.9699	6.3456	4.9954	6.3446	5.664	5.6604	6.3346	5.6669	7.024	5.6373	6.6829	6.3385	5.998	5.2948	6.3081	5.6275	6.3277	5.6441	5.6476	5.647	5.3141	6.676	6.3078	7.3649	5.6681	5.2899	6.6769	5.643	5.6462	5.3133	5.6627	5.9844	6.6739	5.317	5.3103	6.322	6.0094
6.9952	7.3419	6.3301	6.6469	5.9574	6.3071	7.0204	7.3599	6.6694	5.9789	6.3059	7.3602	5.9807	6.6711	6.3045	6.3302	6.3296	6.6691	6.6686	7.6831	6.3297	7.3478	5.9806	7.0203	5.9535	6.6568	6.6423	6.328	7.005	6.3028	5.9531	6.6436	7.6832	7.3666	5.6381	6.6692	6.3286	5.9643	6.3296	6.3301	6.3166	7.0578	6.382	6.3293	6.6687	7.0043	6.6713	6.6708	6.3293	5.9658	6.3336	6.677	7.3589	6.676	4.9478	6.3312	6.6706	7.0201	6.6731	5.6396	5.6391	6.6763	6.3357	6.3315	7.0248	7.0243	6.3175	5.6463	6.3367	6.6603	6.6597	7.0402	6.3358	6.349	5.9984	6.3477	6.3471	6.6865	6.3496	6.3498	6.3492	6.6887	6.6881	5.6413	7.0208	6.6863	6.3458	5.6551	6.3324	5.982	5.6352	5.9746	6.6778	7.0134	6.6689
7.0682	7.7717	7.0813	7.7571	7.0818	7.4323	7.759	7.7733	6.743	7.4325	8.1243	7.0676	7.7947	6.3779	6.3922	6.3926	6.7669	6.7804	7.4699	6.3916	7.1188	7.1044	7.8077	7.0816	7.082	6.4301	7.796	8.1531	7.1038	6.0938	7.8113	7.1169	6.7783	8.1488	7.813	7.809	7.4722	7.4679	8.1512	7.4974	7.1385	7.8135	6.428	6.7861	7.1224	6.7855	6.7988	7.1167	7.1239	6.4295	7.809	7.4749	6.7992	7.4896	6.7814	7.4886	7.1381	7.8138	7.1232	6.7965	7.136	7.1387	7.8291	7.1389	7.4746	7.8218	6.775	7.4807	6.7963	6.7958	7.1352	6.7332	7.0624	7.4201	7.0618	6.735	7.7506	7.4238	7.4232	6.7326	6.7244	6.7211	6.3791	6.7347	6.0303	6.7274	7.423	6.7262	6.3817	6.3811	6.3881	7.0736	7.0811	7.4305	7.4161
7.4464	8.17	7.8196	8.1353	7.8187	7.8182	7.8012	8.1432	7.4622	7.8204	8.5103	7.8197	8.1692	7.4787	7.1381	7.8176	7.4453	8.1696	8.17	7.4676	7.4794	7.8065	7.4444	7.4778	8.481	8.1562	7.4665	7.1132	7.1393	7.4664	8.1419	7.8052	7.8045	7.464	8.1572	8.1595	8.8498	7.47	7.8057	8.1975	6.8029	8.1579	7.1235	8.843	7.8125	8.1628	7.8093	7.4726	7.1244	6.7815	7.4672	7.8106	7.8101	6.7757	7.4699	8.1565	7.1264	8.8497	7.4691	7.4647	7.4703	7.4636	7.4631	8.1565	7.1298	7.4938	7.8095	7.4713	7.8047	7.1302	7.4673	7.8075	7.7906	8.1562	8.1592	7.4669	7.8087	7.4657	8.1575	6.7768	7.4501	7.1095	8.4952	7.4484	7.8058	8.1592	7.111	7.1265	8.1398	7.8029	7.4662	7.8017	8.1511	8.1542	7.804
8.4828	8.5072	8.4839	8.142	8.1577	8.8472	8.5067	8.5062	8.5057	8.1818	8.5073	7.4678	8.1582	7.8177	8.831	8.5066	8.506	8.1555	7.8163	8.4906	7.4672	8.1415	8.1411	8.4906	8.49	8.8333	8.4927	9.1722	7.8037	8.4942	8.1406	8.138	7.7973	8.143	8.4923	7.8018	8.825	7.4528	8.1447	7.4613	8.1513	8.1508	7.4602	7.1195	8.1489	7.4582	8.4976	8.4998	7.4602	7.8042	8.1499	8.1494	8.8328	7.8023	7.458	8.4914	8.1408	8.4936	7.8178	7.4674	7.4668	8.1563	7.8158	7.4653	8.5048	8.1544	7.8178	7.8036	8.1613	7.4669	7.8164	8.2201	7.8718	7.8788	8.5643	8.5675	8.2131	8.2141	8.2201	7.5233	8.2189	7.5259	8.9016	8.2133	7.8766	8.5597	8.2453	8.2129	8.2161	8.2178	7.8772	8.2142	8.5636	8.5629	8.9022
9.2164	8.2109	8.8914	8.5519	9.2424	8.8925	9.2259	8.909	8.211	8.9031	7.8439	8.8753	9.9158	8.5501	9.5802	9.2397	8.5491	8.5485	8.548	9.9274	8.5624	9.5928	9.5794	8.9036	8.223	8.5625	9.2381	8.5653	8.5646	8.5601	8.9058	8.9062	8.8889	8.5622	8.5615	8.2186	9.5942	9.2499	8.5631	8.5611	8.2215	8.9058	8.5655	8.5648	8.2242	9.2535	8.8967	8.9	8.8956	7.8741	9.2484	8.9023	8.558	7.8675	9.2472	8.5606	9.5899	9.2493	9.2449	8.2217	9.5921	8.2215	8.5648	9.2544	7.8738	8.5634	8.9068	7.8687	8.2184	8.5657	7.8794	8.5816	9.2586	7.8942	8.5835	8.2429	9.5961	9.2554	8.9049	8.9083	8.5519	8.5674	8.9231	8.2263	9.2557	8.565	8.5483	9.5777	9.2371	8.2269	8.5663	8.5933	7.8589	9.2382	8.5913
