0	0	0.28178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31045	0.31755	0	0.582	1.1066	1.0101	0.90355	0.96135	1.027	0.8405	1.1805	0.73628	0.34921	0.38106	0.42974	0.34921	0.44604	0.45323	0.21502	0.19261	0	0	0.31674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2193	0.56097	0.3346	0.29283	0.48051	0.47534	0.43322	0.19884	0.25246	0	0	0	0	0	0	0.25398	0	0	0	0	0	0	0	0	0
0	0.23104	0.56811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24366	0	0	0.68665	0.96592	0.84459	0.59882	0.58664	0.63985	0.50442	0.80055	1.4335	0.6798	0.73628	0.72209	0.53605	0.32218	0.22293	0.26485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79646	0	0	0	0	0	0	0	0.57895	1.553	0.72249	0.44284	0.45511	0.61957	0.72615	0.37487	0	0	0	0	0	0	0	0	0.44042	0.26961	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87787	0.87787	0.77735	1.3095	1.143	1.738	1.143	0.407	0.40923	1.143	0.51786	0.45352	0.23252	0.28667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3346	0.69021	0.55508	0.75223	0.56394	0.76364	0.51529	0.40541	0	0	0	0	0	0	0	0	0	0.30862	0.29628	0	0.30914	0	0	0	0	0	0
0.44604	0	0.57021	0.31934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46582	1.1118	1.2584	0.95484	0.90789	1.2361	0.91662	0.97051	1.0101	0.84459	0.79276	0.43912	0.44868	0.49912	0.35651	0.18103	0.34535	0.29234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23197	0.3987	0.30152	0.44284	0.47792	0.66255	0.93474	0.38555	0.2617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.55863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19881	0.29164	0.26443	0	0	0.65378	0.99373	1.0712	0.61747	0.48609	0.86945	0.92985	1.8012	1.5096	0.81634	0.68722	0.80841	0.69704	0.74736	0.66626	0.51515	0.4415	0.17328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20898	0.59121	0.65916	0.40317	0.46767	0.70084	0.46767	0.6867	0.39428	0.24058	0.20769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27856	0.20743	0.28997	0.25986	0.23895	0.48293	0.66699	1.0031	1.143	0.61433	0.57467	0.9343	1.3648	0.98675	0.72181	0.81184	0.70757	0.52332	0.97297	0.6112	0.52883	0.38106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17194	0.21686	0.3987	0.43322	0.46261	0.44771	0.24498	0.31586	0.54925	0.79875	0.64573	0.70799	0.35628	0	0	0	0	0	0	0	0	0	0.24831	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.23909	0	0	0	0	0	0	0	0	0	0	0	0	0.51075	0	0	0	0	0.2037	0	0.21636	0.51279	0.59458	0.69724	0.61747	0.88636	0.70404	0.74736	0.99373	1.1814	1.4463	1.1221	1.0662	0.86945	0.82433	0.39194	0.36657	0.21122	0.23956	0.26597	0.22161	0	0	0	0	0	0.1586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18323	0.26961	0.39648	0.47277	0.21553	0.21027	0	0	0.38989	0.9123	0.85185	0.4601	0.47021	0.25398	0.21289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17582	0	0	0	0	0	0	0	0.15122	0	0	0.24654	0.32335	0.39175	0.38981	0.55007	1.2643	0.97754	0.7111	1.2023	1.1325	1.3826	0.87787	1.4399	0.99843	1.1325	1.4399	0.37108	0.26954	0.30696	0.3266	0.26443	0	0.30132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24058	0.21421	0.26961	0.46261	0.24498	0.21955	0.37699	0.45017	0	0.49365	0.40541	0.53204	0	0	0.53773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4223	0.26221	0	0	0	0	0	0	0	0.37724	0.21897	0.3552	0.45482	0.45722	0.4291	0.96387	0.98439	0.96387	0.64965	0.70054	1.6429	1.911	1.5251	1.2023	1.2023	2.3043	1.1081	0.51245	0.51693	0.44388	0.48609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28772	0.24204	0	0	0	0	0	0.58812	0.55216	0.582	0.46513	0.37487	0	0.37487	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35326	0.50229	0.41559	0	0	0	0	0	0	0.33028	0.23241	0	0.35132	0.4223	0.60618	0.54263	0.63464	0.70757	0.64637	0.90644	0.856	0.96841	0.85694	1.2023	0.86526	2.0599	3.6184	1.4133	0.80402	0.48095	0.51515	0.34281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18674	0.27121	0.16228	0	0	0	0	0	0	0	0.32139	0	0.5943	0.49899	0.30328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
