7.6263	5.8688	7.2834	5.5119	6.2244	6.9233	6.9278	8.3398	7.6397	6.9297	7.6417	7.6428	7.6442	6.925	8.6727	7.2783	8.2124	7.6328	6.9166	7.6283	7.986	9.1007	6.2142	7.9843	9.1488	8.9497	6.9062	6.9136	7.275	7.6231	6.2365	7.6281	7.6367	8.3347	8.0109	6.5866	8.001	9.0413	6.9462	7.3084	8.339	8.0151	9.0787	9.0815	7.6556	8.0088	8.7114
8.0429	7.0119	7.0124	7.3641	7.716	7.7169	8.4191	8.416	8.4059	8.767	8.4214	9.4696	7.0085	8.0741	8.7864	8.3258	9.1377	9.8238	8.4141	8.7752	9.127	8.4175	8.7832	9.8313	8.4223	7.7258	8.7701	7.7178	9.127	8.069	9.4824	8.0783	9.138	9.4951	8.7973	9.8511	7.3897	8.7901	8.7935	8.4355	8.7991	8.0905	9.1681	8.8204	9.1729	8.4517	8.4535
8.1376	8.8403	8.4909	7.775	7.7826	8.4946	8.8458	8.4904	7.7809	7.7663	7.7672	7.4514	8.5146	8.1642	7.4586	9.0846	9.2184	8.8688	7.0979	8.1598	9.5582	9.2131	8.5102	9.2156	8.8677	9.2186	8.8703	9.5568	9.9184	9.561	9.5633	9.2105	10.63	9.5663	9.5689	9.9323	9.209	7.1135	7.8171	10.292	9.5705	8.536	9.5895	9.9527	8.5465	7.821	8.8835
8.1077	7.0422	7.7548	8.8131	7.3966	7.0473	7.0483	9.1612	9.879	7.39	9.149	9.8604	9.8619	8.1046	9.1576	10.015	10.216	9.1562	9.857	8.025	10.21	10.561	8.8014	9.8469	8.7888	9.1394	10.551	9.1429	10.9	10.193	10.195	9.1374	9.544	10.554	9.5494	10.253	8.8192	10.243	11.657	10.599	10.602	10.605	10.967	10.943	10.61	9.5347	10.571
8.3947	8.0461	9.4582	9.4594	9.4606	9.1255	8.4159	9.8277	9.4789	9.4645	10.526	9.8165	10.168	10.529	9.4643	9.4645	9.4662	10.167	7.7057	9.8041	10.156	11.218	11.587	10.819	9.4756	8.7518	8.7683	10.181	9.4668	10.53	10.175	9.8246	10.538	11.241	11.243	11.601	10.193	10.54	10.183	10.199	10.912	11.951	10.916	12.666	9.8593	11.621	10.907
8.8473	8.1386	9.5506	9.5521	8.8529	9.9146	9.9158	9.9205	9.5611	10.608	10.608	10.26	10.611	10.612	10.264	11.674	10.269	10.686	6.0273	9.547	11.257	10.91	12.26	10.685	11.283	10.515	11.323	11.309	11.311	10.963	10.965	11.679	12.031	9.9177	10.97	9.9234	11.326	11.313	11.316	11.678	12.381	11.677	9.9178	10.971	10.628	11.683	11.309
8.8038	9.1561	9.5172	10.219	7.7522	9.8746	9.1656	9.1663	9.8626	10.564	10.565	10.916	10.218	9.868	10.221	9.1335	9.8459	10.181	10.533	11.244	10.536	10.551	12.051	11.183	11.065	9.4931	11.62	11.956	12.309	10.55	11.613	11.265	11.242	11.972	11.623	10.891	11.937	11.94	12.653	11.945	11.597	12.659	10.934	10.936	10.588	11.633	10.575
9.9771	10.329	10.33	7.894	8.5956	10.007	10.719	9.9941	9.9955	12.117	11.408	11.41	10	10.711	9.9036	12.256	11.008	11.302	11.757	11.757	11.409	10.622	13.144	10.467	10.629	11.128	11.058	12.47	11.762	11.764	11.766	10.362	11.075	11.428	12.14	11.068	12.48	11.072	12.835	12.137	12.139	11.075	11.776	11.779	12.124	11.065	11.767
11.168	8.7086	10.82	8.0041	9.4156	11.174	10.113	10.464	10.116	11.527	11.878	11.53	10.471	10.121	11.187	10.516	11.935	11.846	10.826	12.237	11.539	9.7633	9.0646	11.077	11.096	12.225	13.288	11.88	12.232	12.234	12.937	12.94	10.135	11.899	11.174	12.938	12.59	11.892	12.945	12.596	11.548	11.564	11.915	12.252	12.953	12.255	12.957
11.949	10.541	10.902	8.786	10.547	11.244	10.535	11.596	11.598	11.249	11.25	10.541	9.8553	10.206	10.543	10.193	11.312	11.606	13.018	12.669	11.61	10.552	10.217	10.553	10.205	11.967	13.38	12.321	12.324	11.976	10.922	11.624	11.627	12.675	12.316	11.969	12.681	13.033	13.036	11.627	11.613	11.265	11.25	11.602	13.364	12.305	12.667
