45.797	45.76	45.724	45.687	45.651	45.614	45.578	45.541	45.504	45.468	45.431	45.395	45.358	45.321	45.285	45.248	45.212	45.175	45.138	45.102	45.065	45.028	44.991	44.955	44.918	44.881	44.844	44.808	44.771	44.734	44.697	44.66	44.623	44.587	44.55	44.513	44.476	44.439	44.402	44.365	44.328	44.291	44.254	44.217	44.18	44.143	44.106	44.069	44.032
45.768	45.731	45.695	45.658	45.622	45.585	45.549	45.512	45.476	45.439	45.403	45.366	45.329	45.293	45.256	45.22	45.183	45.146	45.11	45.073	45.036	45	44.963	44.926	44.889	44.853	44.816	44.779	44.742	44.706	44.669	44.632	44.595	44.558	44.521	44.484	44.448	44.411	44.374	44.337	44.3	44.263	44.226	44.189	44.152	44.115	44.078	44.041	44.004
45.739	45.702	45.666	45.63	45.593	45.557	45.52	45.484	45.447	45.411	45.374	45.337	45.301	45.264	45.228	45.191	45.154	45.118	45.081	45.045	45.008	44.971	44.934	44.898	44.861	44.824	44.788	44.751	44.714	44.677	44.641	44.604	44.567	44.53	44.493	44.456	44.419	44.383	44.346	44.309	44.272	44.235	44.198	44.161	44.124	44.087	44.05	44.013	43.976
45.71	45.674	45.637	45.601	45.564	45.528	45.491	45.455	45.418	45.382	45.345	45.309	45.272	45.236	45.199	45.162	45.126	45.089	45.053	45.016	44.979	44.943	44.906	44.869	44.833	44.796	44.759	44.722	44.686	44.649	44.612	44.575	44.539	44.502	44.465	44.428	44.391	44.354	44.317	44.281	44.244	44.207	44.17	44.133	44.096	44.059	44.022	43.985	43.948
45.682	45.645	45.609	45.572	45.536	45.499	45.463	45.427	45.39	45.354	45.317	45.281	45.244	45.207	45.171	45.134	45.098	45.061	45.025	44.988	44.951	44.915	44.878	44.841	44.805	44.768	44.731	44.694	44.658	44.621	44.584	44.548	44.511	44.474	44.437	44.4	44.363	44.327	44.29	44.253	44.216	44.179	44.142	44.105	44.068	44.031	43.994	43.957	43.921
45.653	45.617	45.58	45.544	45.507	45.471	45.435	45.398	45.362	45.325	45.289	45.252	45.216	45.179	45.143	45.106	45.069	45.033	44.996	44.96	44.923	44.886	44.85	44.813	44.776	44.74	44.703	44.666	44.63	44.593	44.556	44.519	44.483	44.446	44.409	44.372	44.335	44.299	44.262	44.225	44.188	44.151	44.114	44.077	44.04	44.004	43.967	43.93	43.893
45.624	45.588	45.552	45.515	45.479	45.443	45.406	45.37	45.333	45.297	45.26	45.224	45.187	45.151	45.114	45.078	45.041	45.005	44.968	44.931	44.895	44.858	44.822	44.785	44.748	44.712	44.675	44.638	44.602	44.565	44.528	44.491	44.455	44.418	44.381	44.344	44.308	44.271	44.234	44.197	44.16	44.123	44.086	44.05	44.013	43.976	43.939	43.902	43.865
45.596	45.56	45.523	45.487	45.451	45.414	45.378	45.341	45.305	45.268	45.232	45.196	45.159	45.123	45.086	45.049	45.013	44.976	44.94	44.903	44.867	44.83	44.793	44.757	44.72	44.684	44.647	44.61	44.574	44.537	44.5	44.463	44.427	44.39	44.353	44.316	44.28	44.243	44.206	44.169	44.132	44.096	44.059	44.022	43.985	43.948	43.911	43.874	43.837
45.568	45.531	45.495	45.459	45.422	45.386	45.35	45.313	45.277	45.24	45.204	45.167	45.131	45.094	45.058	45.021	44.985	44.948	44.912	44.875	44.839	44.802	44.766	44.729	44.692	44.656	44.619	44.582	44.546	44.509	44.472	44.436	44.399	44.362	44.326	44.289	44.252	44.215	44.178	44.142	44.105	44.068	44.031	43.994	43.957	43.921	43.884	43.847	43.81
45.539	45.503	45.467	45.43	45.394	45.358	45.321	45.285	45.249	45.212	45.176	45.139	45.103	45.066	45.03	44.993	44.957	44.92	44.884	44.847	44.811	44.774	44.738	44.701	44.664	44.628	44.591	44.555	44.518	44.481	44.445	44.408	44.371	44.335	44.298	44.261	44.224	44.188	44.151	44.114	44.077	44.04	44.004	43.967	43.93	43.893	43.856	43.819	43.782
45.511	45.475	45.439	45.402	45.366	45.33	45.293	45.257	45.22	45.184	45.148	45.111	45.075	45.038	45.002	44.965	44.929	44.892	44.856	44.819	44.783	44.746	44.71	44.673	44.637	44.6	44.563	44.527	44.49	44.454	44.417	44.38	44.344	44.307	44.27	44.233	44.197	44.16	44.123	44.086	44.05	44.013	43.976	43.939	43.902	43.866	43.829	43.792	43.755
45.483	45.446	45.41	45.374	45.338	45.301	45.265	45.229	45.192	45.156	45.119	45.083	45.047	45.01	44.974	44.937	44.901	44.864	44.828	44.791	44.755	44.718	44.682	44.645	44.609	44.572	44.536	44.499	44.462	44.426	44.389	44.352	44.316	44.279	44.242	44.206	44.169	44.132	44.095	44.059	44.022	43.985	43.948	43.912	43.875	43.838	43.801	43.764	43.727
