7.2249	7.5662	7.1853	7.864	7.5187	8.5668	7.4903	8.1736	6.772	7.0874	7.087	7.3714	8.048	6.9789	7.662	6.6165	6.2379	7.2577	7.6138	7.2476	7.9049	7.1893	7.5258	7.512	7.1492	7.4889	6.7779	7.8228	7.4629	7.4536	7.7676	7.4091	8.1128	8.109	6.694	8.1023	7.7222	7.7362	7.7338	7.3553	8.0484	8.3976	7.3355	7.3342	8.0581	6.645	7.3327	7.698	8.0341	8.3854	8.0363	8.0383	7.3295	7.6764	7.6853	6.9876	7.3413	6.9941	7.3215
6.6203	8.0125	7.6525	7.959	8.3087	7.9273	7.5669	8.6121	7.5278	7.1598	8.2087	8.1904	7.7813	7.7637	7.0448	7.0276	7.0029	8.0463	8.0334	6.9523	7.6416	7.9867	7.9399	7.2193	7.9169	8.268	7.5297	8.5844	8.5746	7.8783	8.5699	8.5335	7.1185	8.8766	7.8223	9.2204	7.8157	8.5077	8.1609	7.4477	8.1302	8.1226	7.7776	8.4846	8.8339	8.4754	8.4833	8.4849	8.1353	8.1113	8.1122	7.7635	8.1155	8.1211	7.7696	8.1229	8.1258	8.1297	8.8376
8.438	7.3715	8.4267	7.0049	7.6636	7.9989	7.6374	7.9677	7.9548	7.9369	7.9231	7.9006	7.8852	8.5338	8.1656	7.4472	7.4463	8.1159	8.4499	8.4469	8.4314	8.0656	8.0225	8.0088	8.3453	8.6827	7.6197	7.9587	8.6634	8.3037	8.9811	7.9111	7.9075	8.2542	8.2505	8.2609	8.608	7.8913	7.9022	7.5358	7.8973	8.219	7.8677	8.567	8.2023	8.9167	9.2779	8.2179	8.2186	9.2647	7.8454	7.4963	8.8829	7.4997	8.2002	8.9026	8.5417	8.2089	8.199
8.4041	8.3946	8.3854	8.3717	8.3233	8.3089	8.648	9.3427	7.2145	9.3089	7.8936	8.2119	8.2068	7.8063	8.4882	8.4703	7.7515	8.4344	7.7033	7.3502	8.7358	8.37	9.0695	9.3768	8.6525	8.2852	8.6269	8.9751	8.9638	8.5938	8.9477	8.5834	8.2013	8.2013	8.1976	9.6049	8.5411	8.1883	8.8961	8.5328	8.1802	8.856	8.4938	8.8525	9.2028	8.493	8.4935	8.8546	9.2056	8.5103	8.4856	9.1974	8.8485	8.8503	8.8522	8.8542	8.8703	8.8597	8.5194
9.0614	9.0531	7.9938	8.3309	8.2686	8.6183	7.9033	8.9483	7.8713	8.2085	8.5374	8.5191	8.8605	7.7536	8.791	8.4103	9.4561	9.0879	8.0144	9.0541	7.6311	8.316	7.9508	8.6179	8.2437	8.9409	8.9281	9.6162	9.2485	9.2454	9.2402	9.2296	8.1373	9.5441	8.49	9.1866	9.8838	9.5309	8.4912	9.1885	9.5227	8.7936	9.8559	8.804	9.5041	9.8545	9.505	9.1557	9.1704	9.1577	9.1467	9.1483	9.5	8.7873	8.4527	8.8048	8.8209	10.222	9.1677
7.7301	8.4461	8.061	8.4218	9.0736	8.3591	8.695	9.3797	8.6634	8.2967	8.6293	8.9617	8.5863	8.8869	8.8738	8.4958	8.4739	9.155	9.8484	9.471	8.7682	8.7388	8.3578	9.3941	9.0298	7.9656	9.7138	8.6406	9.3301	8.6236	8.9682	8.9625	10.341	9.2805	9.6368	9.2729	9.9799	8.22	7.8632	9.621	9.2585	9.2333	9.592	9.5911	8.5265	9.2299	10.291	8.881	8.5452	9.2469	10.282	8.8596	9.2247	9.5864	9.9384	9.23	8.1831	9.2387	9.5983
8.7126	9.4033	8.6922	9.3849	8.987	8.2728	10.369	9.2936	10.338	9.2613	9.2442	8.88	8.1575	8.1116	8.7903	9.1184	8.7468	8.0252	9.0558	9.3989	9.3825	9.3665	8.615	9.307	9.2964	9.9831	9.6197	9.6071	9.2502	9.5943	8.8781	8.8444	9.1992	8.4878	8.8343	9.5408	9.1873	9.5345	9.5316	8.8182	8.4653	10.201	9.5003	9.8496	9.4988	9.1481	10.198	9.498	9.4989	9.5135	9.4751	9.4766	8.4311	10.193	9.8448	10.548	8.7919	10.558	9.1662
9.9478	9.5881	9.2112	8.4538	8.4428	9.4909	10.177	9.4617	9.4461	8.7197	9.0761	10.096	10.06	8.629	8.6058	9.2936	8.5615	9.6005	8.5198	9.564	8.1321	8.4402	9.1314	10.17	9.1056	8.7415	9.7785	9.4196	10.117	9.0604	9.0264	9.3708	10.066	9.3601	9.7054	9.3514	10.048	9.3449	9.6918	9.3423	10.374	9.6587	10.722	10.721	10.01	9.6593	9.6589	9.6587	8.608	10.344	8.9378	10.35	8.9369	9.642	9.6441	9.6485	8.603	9.3082	10.017
9.0158	10.057	9.3024	9.9926	9.2816	9.2697	9.6076	9.5932	8.8775	9.9116	9.1946	9.4893	9.821	9.7968	9.7734	10.111	9.7285	9.0066	9.6865	8.9661	8.9305	9.2623	8.1962	10.642	10.627	10.613	9.9021	9.5353	9.5423	10.218	9.138	10.206	8.79	9.8449	9.4797	9.8348	9.8307	9.1176	9.8247	10.499	10.147	10.146	10.495	11.194	9.7934	10.493	10.142	9.0951	9.0692	10.129	10.13	9.4209	10.132	10.484	10.488	10.142	9.4366	10.125	10.833
8.3218	9.3469	8.6376	9.6879	9.6771	10.016	9.2932	9.9903	8.2157	9.591	9.5746	9.1978	9.5341	9.1496	10.536	10.513	9.7905	8.7084	9.0377	9.3505	9.3312	9.6625	10.345	9.6284	10.314	9.9505	10.294	9.2366	9.5544	10.248	10.242	10.587	9.5308	9.8754	9.8701	9.5149	9.51	8.4222	9.4795	10.177	10.176	9.8251	9.8242	9.1231	9.4725	9.4718	9.4743	9.7985	9.4482	10.498	9.7979	9.7982	9.7994	10.863	9.4698	9.1241	10.862	9.8069	9.4619
