6.329	6.3273	6.0438	5.3952	6.6748	5.2569	5.2586	4.9076	5.2723	5.9783	5.6032	5.6008	5.2482	6.6592	6.3067	6.3046	5.2804	7.0588	5.9993	7.1736	5.9944	5.9932	7.0427	7.7586	5.988	7.7552	6.6919	6.5497	6.5059	6.8371	6.6996	5.1074	6.8842	6.8109	7.0493	6.6975	6.6962	6.359	6.7127	6.3602	6.0085	7.0737	5.6607	5.6602	6.0056	7.4166	6.0169	6.35	6.4422	6.3811	6.7307	5.6509	7.0613	5.3121	4.7669	6.8725	6.8153	6.0227	5.8981	6.7372	6.3842	6.7327	6.7059	7.0786	6.7013	7.0734	6.0182	7.068	6.7327	8.1415	6.7033	6.4296	5.4006	7.2477	5.1706	5.4214	6.4475	6.7849	7.7352	5.6513	7.0624	7.3968	7.3953	7.4177	5.9799	8.0916	7.052
6.0724	6.421	6.0682	5.3683	6.0641	6.4825	5.8028	5.7216	4.3174	6.4363	6.0844	6.866	6.7754	6.4967	5.8475	6.7749	6.4062	7.1312	5.3821	6.5521	6.4156	7.1254	6.7628	7.122	7.8214	7.1426	7.5914	6.0913	8.1897	7.1552	5.5312	6.6461	7.2547	8.2019	7.8641	6.4504	7.1609	7.1457	8.2097	6.7986	7.1746	6.096	6.4457	7.1725	7.8551	6.4421	7.8689	7.2496	6.6326	6.5207	7.1634	7.5129	7.5547	7.2343	6.8871	6.0924	7.4963	6.783	7.4917	6.8202	7.1544	8.5537	7.8504	7.5216	7.1446	5.3969	7.5138	7.1605	6.7971	7.506	7.1706	6.4565	6.5994	6.963	6.4542	6.8033	7.1622	6.4489	7.1583	6.4452	6.1035	6.809	7.512	7.5106	7.5089	7.5135	6.7951
5.4374	5.0845	6.5015	6.4931	6.1303	6.1289	4.8447	5.7742	7.8844	5.438	6.1371	5.7844	6.4937	5.916	5.5319	4.7222	6.5767	6.2432	5.7674	7.1813	7.5746	6.1303	7.5269	7.5392	6.2391	6.6115	7.5344	6.4816	7.5316	6.8472	7.351	6.9804	7.1875	7.543	7.8923	7.1842	7.533	6.8314	8.5922	7.1978	7.1968	5.807	6.8443	6.8433	7.9167	7.9151	6.5116	7.3511	6.3664	7.2268	6.8501	7.6186	7.6398	7.328	7.2014	8.2774	6.863	7.1947	6.8421	7.5407	7.2215	6.8524	7.9015	7.5488	6.8287	8.6047	7.5246	7.8724	7.1692	6.8395	7.1817	6.3062	6.34	6.4739	7.5236	6.8214	7.193	8.6028	7.1893	7.5378	8.2234	7.201	8.2606	7.1979	7.2005	7.1949	7.5436
7.186	7.217	6.4339	6.7827	6.7808	5.0931	6.4266	6.4083	5.6951	6.4222	6.4205	6.7692	6.441	5.4389	6.7636	6.4954	5.8918	7.2206	7.8402	7.4956	7.2768	6.5439	7.2878	6.998	6.994	7.2822	8.1983	8.5472	7.4846	7.8437	7.8604	8.5595	7.8577	7.1458	7.4988	7.4975	7.4964	7.1449	7.4903	7.4929	8.2207	8.5701	6.8029	7.5026	7.5288	7.5273	7.2899	8.1133	7.0173	7.8813	8.2483	8.3305	7.9777	7.2892	6.9661	7.3486	7.2847	7.6264	8.2453	8.2293	7.53	8.6066	7.9034	7.9007	6.871	6.5179	7.8931	7.2134	7.5613	7.9193	7.9175	6.6779	6.2984	7.9281	7.1889	6.4864	7.2116	7.5602	7.8928	8.5908	7.5282	7.9042	8.603	7.1901	6.1308	8.9486	8.697
6.8723	5.8288	7.1451	7.5093	6.8644	6.0581	6.0227	5.7033	6.753	6.0691	4.9985	8.177	8.1749	7.6144	6.8213	6.133	6.3794	7.0774	7.4356	7.5626	6.8892	7.6158	6.2425	6.2882	6.285	7.6437	7.5372	7.1021	7.0762	7.7855	7.4758	6.7638	6.4156	7.4724	7.821	8.3158	6.8368	6.5171	7.1059	8.516	7.6242	7.8912	5.0131	7.4815	7.8301	7.829	6.4199	6.5459	7.1168	7.4761	7.843	7.8409	7.8392	7.1505	6.4473	8.1834	7.2484	6.09	7.4992	8.1978	7.4946	9.2716	8.5588	7.8559	7.1356	7.1404	7.1305	7.1281	8.5432	7.8343	7.8324	7.6621	7.991	8.1936	7.1305	7.8396	7.1266	7.1287	7.8373	7.121	7.8339	8.1994	6.4303	8.8968	8.1948	5.724	7.8406
7.6879	8.0689	8.3554	6.9936	7.2866	7.5576	6.1676	7.6145	6.1639	7.5915	8.6505	7.9379	6.8853	6.2299	5.5623	7.5806	7.2113	7.91	4.3975	7.2237	7.0033	7.0174	8.3839	6.8663	5.8171	5.9416	7.1086	8.4308	8.3932	7.6711	8.6484	7.9365	6.8843	6.5364	6.315	7.0996	7.3875	7.2427	6.8907	7.9402	7.0813	8.4122	8.3043	8.3029	7.5844	7.5996	8.0349	6.5191	8.6554	8.6372	8.654	8.292	8.0117	6.1895	7.5849	7.2463	9.3416	8.2927	8.6505	8.9849	8.6323	6.8998	7.5983	7.5957	8.2936	8.6515	8.2882	7.2288	6.516	7.5741	8.2732	7.5876	7.5855	6.8827	7.5814	8.6408	7.2313	6.8753	7.2277	8.633	7.9213	8.6505	8.9993	8.9976	8.6457	8.284	7.2314
7.4795	7.1276	8.5372	8.1853	7.1365	7.168	5.5155	3.3913	7.6198	8.2052	7.8431	7.4909	8.1998	8.1977	7.2424	6.5997	6.889	6.0621	6.7889	7.838	7.2072	8.1946	7.8326	8.5413	5.9308	7.4774	6.8089	7.6484	5.356	6.6356	8.4029	8.0026	8.2289	6.9179	7.6804	7.7189	8.9249	7.1657	8.225	7.6388	9.0957	7.7011	8.3889	8.6516	7.1673	7.5227	9.282	8.93	8.5784	7.5277	8.2364	8.6867	8.232	5.7513	8.2277	8.5758	7.1561	8.5713	8.5626	8.2103	8.9265	8.9236	8.221	7.8581	8.9162	6.4761	9.2615	8.5825	7.5194	8.5778	7.5325	7.1796	8.589	9.2874	8.5847	8.2331	7.8707	7.5188	8.2308	8.2292	7.5174	8.2428	8.9422	8.5902	9.6493	8.9373	9.6456
8.7852	7.732	7.6744	5.6695	6.6106	6.711	7.7534	8.5071	7.2032	6.7208	8.3816	8.0293	8.0276	4.5764	8.1167	6.3725	4.9651	6.5792	7.6385	7.6362	7.7485	6.5718	7.6306	6.0095	6.6629	6.5782	8.3247	6.9256	6.9421	5.6633	8.7889	8.5162	9.4846	8.1096	7.4113	6.6057	7.3052	8.1264	7.4422	8.1207	8.0278	8.3763	8.3752	9.1996	8.372	8.3707	8.0223	9.0812	8.7378	8.7357	9.4439	8.031	9.0893	8.3767	7.7491	7.6717	9.0801	9.0783	7.999	8.0149	9.0733	9.0703	8.7084	8.7056	7.2922	8.701	8.3477	8.0292	7.6768	7.3313	6.9791	8.0374	8.7358	8.3837	8.0314	8.7302	6.2502	6.9487	7.6574	8.0065	7.6719	9.4309	9.4296	9.0775	9.4261	9.4247	8.488
6.1332	7.5303	8.0979	7.8743	6.0705	7.5034	7.1515	7.4707	8.2452	7.2259	7.8465	7.4932	7.8409	7.8636	7.4664	6.5069	6.4663	7.4524	8.1513	7.1847	7.4472	8.5056	7.5173	7.2002	7.1618	7.0514	7.0499	7.767	7.0649	7.7641	8.8232	8.4714	8.1098	8.4688	6.7905	5.6772	8.1374	8.5143	8.5128	8.1514	9.2102	9.2087	7.928	9.3921	8.8541	6.7351	7.5224	7.8108	8.8694	8.5168	8.1543	8.5125	8.51	7.0971	6.8598	7.2516	8.9592	8.5103	8.8582	8.2405	8.8541	8.1412	8.4994	8.4967	8.4943	8.1322	7.432	7.7805	7.8491	7.793	7.0908	8.499	8.8474	8.135	8.4933	8.1314	7.4326	8.1314	8.4897	7.7951	8.5038	9.2023	8.5007	9.8994	9.5477	8.4958	7.5344
7.9534	7.5622	5.4265	6.7623	6.8326	7.6211	7.2682	6.9529	6.7707	8.2607	6.8878	8.6183	7.2173	7.8221	6.4028	6.7697	7.1371	7.4856	7.4839	8.1926	8.1905	7.899	6.9143	6.7745	6.1697	6.4528	8.2122	7.5003	8.909	8.2073	7.8559	7.8541	7.4924	6.7938	6.4385	6.9477	7.1577	7.947	8.3196	8.7147	9.3792	8.9981	7.2633	5.5821	6.8288	9.6487	8.2548	8.9533	8.2507	8.9486	8.5963	8.3241	9.3811	8.2395	7.5101	6.3141	8.0869	7.8816	8.2976	7.8774	8.2254	7.8728	8.5713	5.4102	7.8791	7.8768	8.9245	6.9451	8.2372	8.235	8.9333	7.5204	8.2288	8.927	8.2249	6.9662	7.3104	8.0093	7.5283	8.5874	7.8855	8.2338	7.8823	9.2811	8.2291	7.5171	7.5086
