132	132.04	132.08	132.11	132.15	132.19	132.22	132.26	132.3	132.33	132.37	132.41	132.44	132.48	132.51	132.55	132.59	132.62	132.66	132.69	132.73	132.77	132.8	132.84	132.87	132.91	132.94	132.98	133.02	133.05	133.09	133.12	133.16	133.19	133.23	133.26	133.3	133.33	133.37	133.4	133.44	133.47	133.51	133.54	133.58	133.61	133.64	133.68	133.71	133.75	133.78	133.82	133.85	133.88	133.92	133.95	133.99	134.02	134.06	134.09	134.12	134.16	134.19	134.22	134.26	134.29	134.33	134.36	134.39	134.43	134.46	134.49	134.53
131.95	131.99	132.02	132.06	132.1	132.13	132.17	132.21	132.24	132.28	132.32	132.35	132.39	132.43	132.46	132.5	132.53	132.57	132.61	132.64	132.68	132.71	132.75	132.78	132.82	132.86	132.89	132.93	132.96	133	133.03	133.07	133.1	133.14	133.17	133.21	133.24	133.28	133.31	133.35	133.38	133.42	133.45	133.49	133.52	133.56	133.59	133.63	133.66	133.7	133.73	133.76	133.8	133.83	133.87	133.9	133.94	133.97	134	134.04	134.07	134.1	134.14	134.17	134.21	134.24	134.27	134.31	134.34	134.37	134.41	134.44	134.47
131.9	131.94	131.97	132.01	132.05	132.08	132.12	132.16	132.19	132.23	132.26	132.3	132.34	132.37	132.41	132.45	132.48	132.52	132.55	132.59	132.63	132.66	132.7	132.73	132.77	132.8	132.84	132.87	132.91	132.95	132.98	133.02	133.05	133.09	133.12	133.16	133.19	133.23	133.26	133.3	133.33	133.37	133.4	133.44	133.47	133.51	133.54	133.57	133.61	133.64	133.68	133.71	133.75	133.78	133.81	133.85	133.88	133.92	133.95	133.99	134.02	134.05	134.09	134.12	134.15	134.19	134.22	134.26	134.29	134.32	134.36	134.39	134.42
131.85	131.88	131.92	131.96	131.99	132.03	132.07	132.1	132.14	132.18	132.21	132.25	132.28	132.32	132.36	132.39	132.43	132.46	132.5	132.54	132.57	132.61	132.64	132.68	132.72	132.75	132.79	132.82	132.86	132.89	132.93	132.96	133	133.03	133.07	133.1	133.14	133.17	133.21	133.24	133.28	133.31	133.35	133.38	133.42	133.45	133.49	133.52	133.56	133.59	133.63	133.66	133.69	133.73	133.76	133.8	133.83	133.87	133.9	133.93	133.97	134	134.03	134.07	134.1	134.14	134.17	134.2	134.24	134.27	134.3	134.34	134.37
131.79	131.83	131.87	131.9	131.94	131.98	132.01	132.05	132.09	132.12	132.16	132.2	132.23	132.27	132.3	132.34	132.38	132.41	132.45	132.48	132.52	132.56	132.59	132.63	132.66	132.7	132.73	132.77	132.81	132.84	132.88	132.91	132.95	132.98	133.02	133.05	133.09	133.12	133.16	133.19	133.23	133.26	133.3	133.33	133.37	133.4	133.44	133.47	133.51	133.54	133.57	133.61	133.64	133.68	133.71	133.75	133.78	133.81	133.85	133.88	133.92	133.95	133.98	134.02	134.05	134.08	134.12	134.15	134.19	134.22	134.25	134.29	134.32
131.74	131.78	131.81	131.85	131.89	131.92	131.96	132	132.03	132.07	132.11	132.14	132.18	132.22	132.25	132.29	132.32	132.36	132.4	132.43	132.47	132.5	132.54	132.58	132.61	132.65	132.68	132.72	132.75	132.79	132.82	132.86	132.9	132.93	132.97	133	133.04	133.07	133.11	133.14	133.18	133.21	133.25	133.28	133.31	133.35	133.38	133.42	133.45	133.49	133.52	133.56	133.59	133.63	133.66	133.69	133.73	133.76	133.8	133.83	133.86	133.9	133.93	133.97	134	134.03	134.07	134.1	134.13	134.17	134.2	134.24	134.27
131.69	131.73	131.76	131.8	131.84	131.87	131.91	131.95	131.98	132.02	132.05	132.09	132.13	132.16	132.2	132.24	132.27	132.31	132.34	132.38	132.42	132.45	132.49	132.52	132.56	132.6	132.63	132.67	132.7	132.74	132.77	132.81	132.84	132.88	132.91	132.95	132.98	133.02	133.05	133.09	133.12	133.16	133.19	133.23	133.26	133.3	133.33	133.37	133.4	133.44	133.47	133.51	133.54	133.57	133.61	133.64	133.68	133.71	133.74	133.78	133.81	133.85	133.88	133.91	133.95	133.98	134.02	134.05	134.08	134.12	134.15	134.18	134.22
131.64	131.67	131.71	131.75	131.78	131.82	131.86	131.89	131.93	131.97	132	132.04	132.08	132.11	132.15	132.18	132.22	132.26	132.29	132.33	132.36	132.4	132.44	132.47	132.51	132.54	132.58	132.61	132.65	132.69	132.72	132.76	132.79	132.83	132.86	132.9	132.93	132.97	133	133.04	133.07	133.11	133.14	133.18	133.21	133.25	133.28	133.32	133.35	133.38	133.42	133.45	133.49	133.52	133.56	133.59	133.63	133.66	133.69	133.73	133.76	133.8	133.83	133.86	133.9	133.93	133.96	134	134.03	134.07	134.1	134.13	134.17
131.58	131.62	131.66	131.69	131.73	131.77	131.8	131.84	131.88	131.91	131.95	131.99	132.02	132.06	132.1	132.13	132.17	132.2	132.24	132.28	132.31	132.35	132.38	132.42	132.46	132.49	132.53	132.56	132.6	132.63	132.67	132.7	132.74	132.78	132.81	132.85	132.88	132.92	132.95	132.99	133.02	133.06	133.09	133.13	133.16	133.2	133.23	133.26	133.3	133.33	133.37	133.4	133.44	133.47	133.51	133.54	133.57	133.61	133.64	133.68	133.71	133.74	133.78	133.81	133.85	133.88	133.91	133.95	133.98	134.01	134.05	134.08	134.12
131.53	131.57	131.61	131.64	131.68	131.72	131.75	131.79	131.83	131.86	131.9	131.94	131.97	132.01	132.04	132.08	132.12	132.15	132.19	132.23	132.26	132.3	132.33	132.37	132.4	132.44	132.48	132.51	132.55	132.58	132.62	132.65	132.69	132.72	132.76	132.79	132.83	132.86	132.9	132.93	132.97	133	133.04	133.07	133.11	133.14	133.18	133.21	133.25	133.28	133.32	133.35	133.39	133.42	133.45	133.49	133.52	133.56	133.59	133.63	133.66	133.69	133.73	133.76	133.8	133.83	133.86	133.9	133.93	133.96	134	134.03	134.06
